id,user_id,event,ip_address,created_at,updated_at,is_fraud,fraud_likelihood
86,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:10:28,2024-11-09 01:10:28,0,0.0
87,3,Created Document,127.0.0.1,2024-11-09 01:11:56,2024-11-09 01:11:56,0,0.0
88,3,Viewed Document,127.0.0.1,2024-11-09 01:12:05,2024-11-09 01:12:05,0,0.0
89,3,Viewed Document,127.0.0.1,2024-11-09 01:12:12,2024-11-09 01:12:12,0,0.0
90,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:16:30,2024-11-09 01:16:30,0,0.0
91,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:16:35,2024-11-09 01:16:35,0,1.7778429820149038
92,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:16:41,2024-11-09 01:16:41,0,0.9001557682925836
93,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:16:55,2024-11-09 01:16:55,0,0.0
94,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:24:53,2024-11-09 01:24:53,0,0.0
95,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:25:23,2024-11-09 01:25:23,0,0.0
96,3,Updated Vehicle Reservation,127.0.0.1,2024-11-09 01:25:36,2024-11-09 01:25:36,0,0.0
97,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 01:25:40,2024-11-09 01:25:40,0,0.0
98,3,Updated Vehicle Reservation,127.0.0.1,2024-11-09 01:25:51,2024-11-09 01:25:51,0,0.0
99,3,logout,127.0.0.1,2024-11-09 01:26:13,2024-11-09 01:26:13,0,0.0
100,2,login,127.0.0.1,2024-11-09 01:26:23,2024-11-09 01:26:23,0,0.0
101,2,logout,127.0.0.1,2024-11-09 06:12:46,2024-11-09 06:12:46,0,0.0
102,1,login,127.0.0.1,2024-11-09 06:12:59,2024-11-09 06:12:59,0,0.0
103,1,logout,127.0.0.1,2024-11-09 06:22:08,2024-11-09 06:22:08,0,0.0
104,2,login,127.0.0.1,2024-11-09 06:22:16,2024-11-09 06:22:16,1,100.0
105,2,logout,127.0.0.1,2024-11-09 07:58:37,2024-11-09 07:58:37,1,100.0
106,1,login,127.0.0.1,2024-11-09 07:58:45,2024-11-09 07:58:45,0,0.0
107,1,Viewed Document,127.0.0.1,2024-11-09 07:58:53,2024-11-09 07:58:53,0,0.0
108,1,Viewed Document,127.0.0.1,2024-11-09 07:58:59,2024-11-09 07:58:59,0,1.500450995783071
109,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 07:59:47,2024-11-09 07:59:47,0,0.0
110,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 08:00:03,2024-11-09 08:00:03,0,0.3567599204989098
111,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 08:01:17,2024-11-09 08:01:17,0,0.5960030500289748
112,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 08:02:37,2024-11-09 08:02:37,0,0.9425842156548612
113,1,Viewed Document,127.0.0.1,2024-11-09 08:02:42,2024-11-09 08:02:42,0,0.4013859257062897
114,1,Created Vendor Registration,127.0.0.1,2024-11-09 08:04:58,2024-11-09 08:04:58,0,0.6539673072249252
115,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 08:09:06,2024-11-09 08:09:06,0,0.4338313453768201
116,1,Viewed Vendor Registration,127.0.0.1,2024-11-09 08:10:37,2024-11-09 08:10:37,0,0.0
117,1,Viewed Document,127.0.0.1,2024-11-09 08:10:56,2024-11-09 08:10:56,0,0.0
118,1,logout,127.0.0.1,2024-11-09 08:11:12,2024-11-09 08:11:12,0,0.0
119,3,login,127.0.0.1,2024-11-09 08:11:19,2024-11-09 08:11:19,0,1.57980591912896
120,3,Viewed Vehicle Reservation,127.0.0.1,2024-11-09 08:11:30,2024-11-09 08:11:30,0,0.7951904603187132
121,3,logout,127.0.0.1,2024-11-09 08:11:58,2024-11-09 08:11:58,0,0.0
122,2,login,127.0.0.1,2024-11-09 08:12:07,2024-11-09 08:12:07,0,0.9941315776961952
123,2,logout,127.0.0.1,2024-11-09 08:38:05,2024-11-09 08:38:05,0,1.7145569375554324
124,3,login,127.0.0.1,2024-11-09 08:38:17,2024-11-09 08:38:17,0,0.0
125,3,Created Vehicle Reservation,127.0.0.1,2024-11-09 08:38:35,2024-11-09 08:38:35,0,0.45674666330955827
126,3,logout,127.0.0.1,2024-11-09 08:38:40,2024-11-09 08:38:40,0,0.0
